Park_and_Ride_Station,Passengers,Radius,Tour_Length
Fish Creek - Lacombe CTrain Station,8,4,
Fish Creek - Lacombe CTrain Station,4,4,17113.624
Somerset-Bridlewood,8,4,18588.525999999998
Crowfoot - North and South,8,4,29897.086999999996
Tuscany Station - Rocky Ridge Terminal,8,4,28341.012000000002
Saddletowne CTrain Park and Ride,8,4,
Saddletowne CTrain Park and Ride,8,4,44905.44599999999
