Park_and_Ride_Station,Passengers,Radius,Tour_Length
Somerset-Bridlewood,8,2,12656.714999999997
Somerset-Bridlewood,8,2,21563.737999999998
Somerset-Bridlewood,8,2,13940.836999999998
Somerset-Bridlewood,8,3,24192.513999999996
Somerset-Bridlewood,8,3,27608.626999999997
Somerset-Bridlewood,8,3,24172.947999999993
Somerset-Bridlewood,8,4,25679.072999999997
Somerset-Bridlewood,8,4,25043.146999999994
Somerset-Bridlewood,8,4,28676.156000000003
Somerset-Bridlewood,8,5,26767.659
Somerset-Bridlewood,8,5,35990.091
Somerset-Bridlewood,8,5,32143.831
Somerset-Bridlewood,9,2,29515.915999999997
Somerset-Bridlewood,9,2,17563.851
Somerset-Bridlewood,9,2,19464.077999999998
Somerset-Bridlewood,9,3,24346.953999999998
Somerset-Bridlewood,9,3,28820.905000000006
Somerset-Bridlewood,9,3,27305.558999999997
Somerset-Bridlewood,9,4,28423.774
Somerset-Bridlewood,9,4,39082.005999999994
Somerset-Bridlewood,9,4,21092.876999999997
Somerset-Bridlewood,9,5,39976.422
Somerset-Bridlewood,9,5,39030.80299999999
Somerset-Bridlewood,9,5,44458.38399999999
Somerset-Bridlewood,10,2,21697.617
Somerset-Bridlewood,10,2,21718.017
Somerset-Bridlewood,10,2,22381.968999999997
Somerset-Bridlewood,10,3,34116.323
Somerset-Bridlewood,10,3,25696.357
Somerset-Bridlewood,10,3,25935.176999999996
Somerset-Bridlewood,10,4,28035.106999999996
Somerset-Bridlewood,10,4,23796.837
Somerset-Bridlewood,10,4,25004.147
Somerset-Bridlewood,10,5,42842.01899999999
Somerset-Bridlewood,10,5,
Somerset-Bridlewood,10,5,36303.203
Somerset-Bridlewood,11,2,33083.227
Somerset-Bridlewood,11,2,18579.451999999994
Somerset-Bridlewood,11,2,18664.627
Somerset-Bridlewood,11,3,24584.851
Somerset-Bridlewood,11,3,30088.630999999998
Somerset-Bridlewood,11,3,29550.693
Somerset-Bridlewood,11,4,37948.24999999999
Somerset-Bridlewood,11,4,31336.114999999998
Somerset-Bridlewood,11,4,
Somerset-Bridlewood,11,5,25574.263999999992
Somerset-Bridlewood,11,5,42256.570999999996
Somerset-Bridlewood,11,5,37649.00199999999
Somerset-Bridlewood,12,2,28731.070999999993
Somerset-Bridlewood,12,2,24407.438
Somerset-Bridlewood,12,2,17925.781999999996
Somerset-Bridlewood,12,3,22312.774999999998
Somerset-Bridlewood,12,3,29622.992
Somerset-Bridlewood,12,3,24996.427
Somerset-Bridlewood,12,4,41173.11399999999
Somerset-Bridlewood,12,4,35679.926999999996
Crowfoot - North and South,3,1,10126.274999999998
Crowfoot - North and South,3,1,9034.812999999998
Crowfoot - North and South,3,1,12168.393
Crowfoot - North and South,3,2,13970.19
Crowfoot - North and South,3,2,15684.979000000001
Crowfoot - North and South,3,2,14030.696
Crowfoot - North and South,3,3,23030.182
Crowfoot - North and South,3,3,13978.026999999998
Crowfoot - North and South,3,3,15620.030999999999
Crowfoot - North and South,3,4,23914.527999999995
Crowfoot - North and South,3,4,26993.348999999995
Crowfoot - North and South,3,4,15252.560999999998
Crowfoot - North and South,3,5,22478.652
Crowfoot - North and South,3,5,23248.706000000002
Crowfoot - North and South,3,5,22040.244
Crowfoot - North and South,4,1,11312.615999999998
Crowfoot - North and South,4,1,11274.120999999997
Crowfoot - North and South,4,1,14946.630999999994
Crowfoot - North and South,4,2,16008.571
Crowfoot - North and South,4,2,13319.097000000002
Crowfoot - North and South,4,2,16411.692
Crowfoot - North and South,4,3,25618.417
Crowfoot - North and South,4,3,24063.451999999997
Crowfoot - North and South,4,3,18207.042999999998
Crowfoot - North and South,4,4,24482.028
Crowfoot - North and South,4,4,17434.283000000003
Crowfoot - North and South,4,4,29664.323999999993
Crowfoot - North and South,4,5,19495.247
Crowfoot - North and South,4,5,27158.723
Crowfoot - North and South,4,5,26575.399999999998
Crowfoot - North and South,5,1,11440.017
Crowfoot - North and South,5,1,
Crowfoot - North and South,5,1,11612.892999999998
Crowfoot - North and South,5,2,13801.677999999998
Crowfoot - North and South,5,2,
Crowfoot - North and South,5,2,15673.872999999998
Crowfoot - North and South,5,3,19518.607999999997
Crowfoot - North and South,5,3,20850.554999999997
Crowfoot - North and South,5,3,20970.222
Crowfoot - North and South,5,4,31330.403999999995
Crowfoot - North and South,5,4,
Crowfoot - North and South,5,4,18777.653
Crowfoot - North and South,5,5,26514.142
Crowfoot - North and South,5,5,32793.4
Crowfoot - North and South,5,5,34372.284999999996
Crowfoot - North and South,6,1,16751.719999999998
Crowfoot - North and South,6,1,21042.610999999997
Crowfoot - North and South,6,1,13456.231999999996
Crowfoot - North and South,6,2,20495.273999999998
Crowfoot - North and South,6,2,13355.971999999998
Crowfoot - North and South,6,2,13878.702000000003
Crowfoot - North and South,6,3,26874.176999999996
Crowfoot - North and South,6,3,20965.919
Crowfoot - North and South,6,3,22559.226
Crowfoot - North and South,6,4,27332.579000000005
Crowfoot - North and South,6,4,33481.341
Crowfoot - North and South,6,4,31437.11699999999
Crowfoot - North and South,6,5,27925.774999999994
Crowfoot - North and South,6,5,50882.08099999999
Crowfoot - North and South,6,5,39500.801999999996
Crowfoot - North and South,7,1,13150.586
Crowfoot - North and South,7,1,12780.147999999996
Crowfoot - North and South,7,1,12099.451999999997
Crowfoot - North and South,7,2,22549.676999999996
Crowfoot - North and South,7,2,20202.541
Crowfoot - North and South,7,2,18816.091999999997
Crowfoot - North and South,7,3,27480.878999999997
Crowfoot - North and South,7,3,23906.975000000002
Crowfoot - North and South,7,3,21351.938
Crowfoot - North and South,7,4,30342.17199999999
Crowfoot - North and South,7,4,32614.509
Crowfoot - North and South,7,4,21035.921
Crowfoot - North and South,7,5,42117.676
Crowfoot - North and South,7,5,38043.139
Crowfoot - North and South,7,5,19063.247
Crowfoot - North and South,8,1,19157.332999999995
Crowfoot - North and South,8,1,16299.619999999999
Crowfoot - North and South,8,1,13412.331999999997
Crowfoot - North and South,8,2,16358.928
Crowfoot - North and South,8,2,20329.875
Crowfoot - North and South,8,2,23082.771999999997
Crowfoot - North and South,8,3,23964.237999999998
Crowfoot - North and South,8,3,17714.049999999996
Crowfoot - North and South,8,3,37303.02
Crowfoot - North and South,8,4,35986.20799999999
